sensor_id,minute,Number of channels,Channels acquired,Volt range (V),Sampling rate (Hz),Master,Waveform Format,Bit Range,End Byte,Start DateTime,End DateTime
90414,1,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:24:07.758,2020-02-11 11:25:07.527
90414,2,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:25:07.523,2020-02-11 11:26:07.292
90414,3,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:26:07.289,2020-02-11 11:27:07.058
90414,4,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:27:07.063,2020-02-11 11:28:06.832
90414,5,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:28:06.828,2020-02-11 11:29:06.597
90414,6,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:29:06.602,2020-02-11 11:30:06.371
90414,7,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:30:06.359,2020-02-11 11:31:06.128
90414,8,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:31:06.141,2020-02-11 11:32:05.910
90414,9,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:32:05.898,2020-02-11 11:33:05.667
90414,10,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:33:05.664,2020-02-11 11:34:05.433
90414,11,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:34:05.430,2020-02-11 11:35:05.199
90414,12,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:35:05.195,2020-02-11 11:36:04.964
90414,13,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:36:04.977,2020-02-11 11:37:04.746
90414,14,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:37:04.742,2020-02-11 11:38:04.511
90414,15,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:38:04.508,2020-02-11 11:39:04.277
90414,16,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:39:04.273,2020-02-11 11:40:04.042
90414,17,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:40:04.031,2020-02-11 11:41:03.800
90414,18,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:41:03.813,2020-02-11 11:42:03.582
90414,19,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:42:03.570,2020-02-11 11:43:03.339
90414,20,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:43:03.336,2020-02-11 11:44:03.105
90414,21,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:44:03.109,2020-02-11 11:45:02.878
90414,22,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:45:02.875,2020-02-11 11:46:02.644
90414,23,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:46:02.641,2020-02-11 11:47:02.410
90414,24,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:47:02.406,2020-02-11 11:48:02.175
90414,25,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:48:02.172,2020-02-11 11:49:01.941
90414,26,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:49:01.945,2020-02-11 11:50:01.714
90414,27,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:50:01.711,2020-02-11 11:51:01.480
90414,28,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:51:01.477,2020-02-11 11:52:01.246
90414,29,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:52:01.250,2020-02-11 11:53:01.019
90414,30,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:53:01.016,2020-02-11 11:54:00.785
90414,31,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4462739456,2020-02-11 11:54:00.781,2020-02-11 11:54:56.566
180113,1,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:24:07.758,2020-02-11 11:25:07.527
180113,2,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:25:07.523,2020-02-11 11:26:07.292
180113,3,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:26:07.289,2020-02-11 11:27:07.058
180113,4,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:27:07.063,2020-02-11 11:28:06.832
180113,5,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:28:06.828,2020-02-11 11:29:06.597
180113,6,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:29:06.602,2020-02-11 11:30:06.371
180113,7,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:30:06.359,2020-02-11 11:31:06.128
180113,8,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:31:06.141,2020-02-11 11:32:05.910
180113,9,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:32:05.898,2020-02-11 11:33:05.667
180113,10,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:33:05.664,2020-02-11 11:34:05.433
180113,11,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:34:05.430,2020-02-11 11:35:05.199
180113,12,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:35:05.195,2020-02-11 11:36:04.964
180113,13,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:36:04.977,2020-02-11 11:37:04.746
180113,14,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:37:04.742,2020-02-11 11:38:04.511
180113,15,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:38:04.508,2020-02-11 11:39:04.277
180113,16,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:39:04.273,2020-02-11 11:40:04.042
180113,17,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:40:04.031,2020-02-11 11:41:03.800
180113,18,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:41:03.813,2020-02-11 11:42:03.582
180113,19,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:42:03.570,2020-02-11 11:43:03.339
180113,20,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:43:03.336,2020-02-11 11:44:03.105
180113,21,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:44:03.109,2020-02-11 11:45:02.878
180113,22,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:45:02.875,2020-02-11 11:46:02.644
180113,23,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:46:02.641,2020-02-11 11:47:02.410
180113,24,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:47:02.406,2020-02-11 11:48:02.175
180113,25,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:48:02.172,2020-02-11 11:49:01.941
180113,26,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:49:01.945,2020-02-11 11:50:01.714
180113,27,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:50:01.711,2020-02-11 11:51:01.480
180113,28,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:51:01.477,2020-02-11 11:52:01.246
180113,29,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:52:01.250,2020-02-11 11:53:01.019
180113,30,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:53:01.016,2020-02-11 11:54:00.785
180113,31,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4462739456,2020-02-11 11:54:00.781,2020-02-11 11:54:56.566
21115,1,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:24:07.758,2020-02-11 11:25:07.527
21115,2,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:25:07.523,2020-02-11 11:26:07.292
21115,3,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:26:07.289,2020-02-11 11:27:07.058
21115,4,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:27:07.063,2020-02-11 11:28:06.832
21115,5,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:28:06.828,2020-02-11 11:29:06.597
21115,6,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:29:06.602,2020-02-11 11:30:06.371
21115,7,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:30:06.359,2020-02-11 11:31:06.128
21115,8,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:31:06.141,2020-02-11 11:32:05.910
21115,9,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:32:05.898,2020-02-11 11:33:05.667
21115,10,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:33:05.664,2020-02-11 11:34:05.433
21115,11,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:34:05.430,2020-02-11 11:35:05.199
21115,12,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:35:05.195,2020-02-11 11:36:04.964
21115,13,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:36:04.977,2020-02-11 11:37:04.746
21115,14,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:37:04.742,2020-02-11 11:38:04.511
21115,15,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:38:04.508,2020-02-11 11:39:04.277
21115,16,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:39:04.273,2020-02-11 11:40:04.042
21115,17,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:40:04.031,2020-02-11 11:41:03.800
21115,18,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:41:03.813,2020-02-11 11:42:03.582
21115,19,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:42:03.570,2020-02-11 11:43:03.339
21115,20,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:43:03.336,2020-02-11 11:44:03.105
21115,21,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:44:03.109,2020-02-11 11:45:02.878
21115,22,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:45:02.875,2020-02-11 11:46:02.644
21115,23,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:46:02.641,2020-02-11 11:47:02.410
21115,24,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:47:02.406,2020-02-11 11:48:02.175
21115,25,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:48:02.172,2020-02-11 11:49:01.941
21115,26,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:49:01.945,2020-02-11 11:50:01.714
21115,27,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:50:01.711,2020-02-11 11:51:01.480
21115,28,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:51:01.477,2020-02-11 11:52:01.246
21115,29,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:52:01.250,2020-02-11 11:53:01.019
21115,30,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4781506560,2020-02-11 11:53:01.016,2020-02-11 11:54:00.785
21115,31,4,0; 1; 2; 3;,5.0,10000000,rct-uop-090414,1,16,4462739456,2020-02-11 11:54:00.781,2020-02-11 11:54:56.566
